name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_year 
Kepler-1184 b,3777,7.65 Earths,14.99,2016
Kepler-1185 b,1498,2.33 Earths,12.63,2016
Kepler-1186 b,4362,5.6 Earths,15.367,2016
Kepler-1187 b,3329,7.32 Earths,14.73,2016
Kepler-1188 b,5602,4.98 Earths,14.941,2016
Kepler-1189 b,2554,3.78 Earths,14.463,2016
Kepler-118 b,1873,4.5 Earths,14.867,2014
Kepler-1181 b,3061,3.09 Earths,13.549,2016
Kepler-1182 b,5041,6.39 Earths,15.742,2016
Kepler-1183 b,6260,8.35 Earths,15.968,2016
Kepler-1184 b,3777,7.65 Earths,14.99,2016
Kepler-1185 b,1498,2.33 Earths,12.63,2016
Kepler-1186 b,4362,5.6 Earths,15.367,2016
Kepler-1187 b,3329,7.32 Earths,14.73,2016
Kepler-1188 b,5602,4.98 Earths,14.941,2016
Kepler-1189 b,2554,3.78 Earths,14.463,2016
Kepler-118 b,1873,4.5 Earths,14.867,2014
Kepler-1181 b,3061,3.09 Earths,13.549,2016
Kepler-1182 b,5041,6.39 Earths,15.742,2016
Kepler-1183 b,6260,8.35 Earths,15.968,2016
Kepler-1184 b,3777,7.65 Earths,14.99,2016
Kepler-1185 b,1498,2.33 Earths,12.63,2016
Kepler-1186 b,4362,5.6 Earths,15.367,2016
Kepler-1187 b,3329,7.32 Earths,14.73,2016
Kepler-1188 b,5602,4.98 Earths,14.941,2016
Kepler-1189 b,2554,3.78 Earths,14.463,2016
Kepler-118 b,1873,4.5 Earths,14.867,2014
Kepler-1199 b,1838,1.6 Earths,13.173,2016
Kepler-119 b,2290,12.6 Earths,14.375,2014
Kepler-119 c,2290,0.721 Earths,14.375,2014
Kepler-11 b,2108,1.9 Earths,13.817,2010
Kepler-11 c,2108,2.9 Earths,13.817,2010
Kepler-11 d,2108,7.3 Earths,13.817,2010
Kepler-11 e,2108,8 Earths,13.817,2010
Kepler-11 f,2108,2 Earths,13.817,2010
Kepler-11 g,2108,25 Earths,13.817,2010
Kepler-1200 b,1920,1.2 Earths,16.06,2016
Kepler-1199 b,1838,1.6 Earths,13.173,2016
Kepler-119 b,2290,12.6 Earths,14.375,2014
Kepler-119 c,2290,0.721 Earths,14.375,2014
Kepler-11 b,2108,1.9 Earths,13.817,2010
Kepler-11 c,2108,2.9 Earths,13.817,2010
Kepler-11 d,2108,7.3 Earths,13.817,2010
Kepler-11 e,2108,8 Earths,13.817,2010
Kepler-11 f,2108,2 Earths,13.817,2010
Kepler-11 g,2108,25 Earths,13.817,2010
Kepler-1200 b,1920,1.2 Earths,16.06,2016
Kepler-1201 b,3080,5.86 Earths,14.765,2016
Kepler-1202 b,3834,8.96 Earths,15.833,2016
Kepler-1203 b,1034,1.2 Earths,15.385,2016
Kepler-1204 b,3834,9.53 Earths,15.45,2016
Kepler-1205 b,2278,2.57 Earths,15.316,2016
Kepler-1206 b,2486,3.33 Earths,15.971,2016
Kepler-1207 b,5722,3.26 Earths,14.595,2016
Kepler-1208 b,2692,5.99 Earths,16.256,2016
Kepler-1209 b,1649,2.89 Earths,12.554,2016
Kepler-120 b,1268,8.5 Earths,14.995,2014
Kepler-120 c,1268,2.96 Earths,14.995,2014
Kepler-1210 b,3838,3.53 Earths,15.649,2016
Kepler-1211 b,5958,7.04 Earths,16.016,2016
Kepler-1212 b,4295,5.22 Earths,15.133,2016
Kepler-1213 b,2635,1.81 Earths,13.416,2016
Kepler-1214 b,2379,6.17 Earths,15.459,2016
Kepler-1215 b,2156,1.98 Earths,14.539,2016
Kepler-1216 b,4105,2.51 Earths,15.262,2016
Kepler-1217 b,4396,4.62 Earths,15.343,2016
Kepler-1218 b,2742,2.67 Earths,13.73,2016
Kepler-1219 b,2873,5.14 Earths,12.339,2016
Kepler-121 b,1665,6.08 Earths,14.904,2014
Kepler-121 c,1665,5.77 Earths,14.904,2014
Kepler-1220 b,3138,2.92 Earths,15.194,2016
Kepler-1221 b,2980,4.19 Earths,15.909,2016
Kepler-1222 b,1354,0.418 Earths,14.21,2016
Kepler-1223 b,1500,1.98 Earths,14.911,2016
Kepler-1224 b,1825,2.33 Earths,12.926,2016
Kepler-1225 b,4396,3.97 Earths,14.819,2016
Kepler-1226 b,3672,2.7 Earths,14.324,2016
Kepler-1219 b,2873,5.14 Earths,12.339,2016
Kepler-121 b,1665,6.08 Earths,14.904,2014
Kepler-121 c,1665,5.77 Earths,14.904,2014
Kepler-1220 b,3138,2.92 Earths,15.194,2016
Kepler-1221 b,2980,4.19 Earths,15.909,2016
Kepler-1222 b,1354,0.418 Earths,14.21,2016
Kepler-1223 b,1500,1.98 Earths,14.911,2016
Kepler-1224 b,1825,2.33 Earths,12.926,2016
Kepler-1225 b,4396,3.97 Earths,14.819,2016
Kepler-1226 b,3672,2.7 Earths,14.324,2016
Kepler-1232 b,2064,4.38 Earths,14.97,2016
Kepler-1233 b,3845,7.27 Earths,14.82,2016
Kepler-1234 b,2990,8.3 Earths,15.915,2016
Kepler-1235 b,1763,0.418 Earths,14.079,2016
Kepler-1236 b,3261,5.22 Earths,16.145,2016
Kepler-1237 b,3472,8.55 Earths,16.012,2016
Kepler-1238 b,5324,4.38 Earths,14.919,2016
Kepler-1239 b,6983,8.75 Earths,15.391,2016
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
Kepler-123 c,3333,2.79 Earths,14.129,2014
Kepler-1232 b,2064,4.38 Earths,14.97,2016
Kepler-1233 b,3845,7.27 Earths,14.82,2016
Kepler-1234 b,2990,8.3 Earths,15.915,2016
Kepler-1235 b,1763,0.418 Earths,14.079,2016
Kepler-1236 b,3261,5.22 Earths,16.145,2016
Kepler-1237 b,3472,8.55 Earths,16.012,2016
Kepler-1238 b,5324,4.38 Earths,14.919,2016
Kepler-1239 b,6983,8.75 Earths,15.391,2016
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
Kepler-123 c,3333,2.79 Earths,14.129,2014
Kepler-1254 d,2032,2.27 Earths,15.541,2016
Kepler-1255 b,5275,5.99 Earths,15.308,2016
Kepler-1256 b,2907,2.83 Earths,13.685,2016
Kepler-1257 b,3608,2.92 Earths,15.644,2016
Kepler-1258 b,2341,0.566 Earths,13.929,2016
Kepler-1259 b,2628,2.63 Earths,15.556,2016
Kepler-125 b,598,6.21 Earths,15.431,2014
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1260 b,5658,3.78 Earths,14.953,2016
Kepler-1261 b,2428,5.73 Earths,15.817,2016
Kepler-1254 d,2032,2.27 Earths,15.541,2016
Kepler-1255 b,5275,5.99 Earths,15.308,2016
Kepler-1256 b,2907,2.83 Earths,13.685,2016
Kepler-1257 b,3608,2.92 Earths,15.644,2016
Kepler-1258 b,2341,0.566 Earths,13.929,2016
Kepler-1259 b,2628,2.63 Earths,15.556,2016
Kepler-125 b,598,6.21 Earths,15.431,2014
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1260 b,5658,3.78 Earths,14.953,2016
Kepler-1261 b,2428,5.73 Earths,15.817,2016
Kepler-1254 d,2032,2.27 Earths,15.541,2016
Kepler-1255 b,5275,5.99 Earths,15.308,2016
Kepler-1256 b,2907,2.83 Earths,13.685,2016
Kepler-1257 b,3608,2.92 Earths,15.644,2016
Kepler-1258 b,2341,0.566 Earths,13.929,2016
Kepler-1259 b,2628,2.63 Earths,15.556,2016
Kepler-125 b,598,6.21 Earths,15.431,2014
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1260 b,5658,3.78 Earths,14.953,2016
Kepler-1261 b,2428,5.73 Earths,15.817,2016
Kepler-1254 d,2032,2.27 Earths,15.541,2016
Kepler-1255 b,5275,5.99 Earths,15.308,2016
Kepler-1256 b,2907,2.83 Earths,13.685,2016
Kepler-1257 b,3608,2.92 Earths,15.644,2016
Kepler-1258 b,2341,0.566 Earths,13.929,2016
Kepler-1259 b,2628,2.63 Earths,15.556,2016
Kepler-125 b,598,6.21 Earths,15.431,2014
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1260 b,5658,3.78 Earths,14.953,2016
Kepler-1261 b,2428,5.73 Earths,15.817,2016
Kepler-1254 d,2032,2.27 Earths,15.541,2016
Kepler-1255 b,5275,5.99 Earths,15.308,2016
Kepler-1256 b,2907,2.83 Earths,13.685,2016
Kepler-1257 b,3608,2.92 Earths,15.644,2016
Kepler-1258 b,2341,0.566 Earths,13.929,2016
Kepler-1259 b,2628,2.63 Earths,15.556,2016
Kepler-125 b,598,6.21 Earths,15.431,2014
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1260 b,5658,3.78 Earths,14.953,2016
Kepler-1261 b,2428,5.73 Earths,15.817,2016
Kepler-1254 d,2032,2.27 Earths,15.541,2016
Kepler-1255 b,5275,5.99 Earths,15.308,2016
Kepler-1256 b,2907,2.83 Earths,13.685,2016
Kepler-1257 b,3608,2.92 Earths,15.644,2016
Kepler-1258 b,2341,0.566 Earths,13.929,2016
Kepler-1259 b,2628,2.63 Earths,15.556,2016
Kepler-125 b,598,6.21 Earths,15.431,2014
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1260 b,5658,3.78 Earths,14.953,2016
Kepler-1261 b,2428,5.73 Earths,15.817,2016
Kepler-1254 d,2032,2.27 Earths,15.541,2016
Kepler-1255 b,5275,5.99 Earths,15.308,2016
Kepler-1256 b,2907,2.83 Earths,13.685,2016
Kepler-1257 b,3608,2.92 Earths,15.644,2016
Kepler-1258 b,2341,0.566 Earths,13.929,2016
Kepler-1259 b,2628,2.63 Earths,15.556,2016
Kepler-125 b,598,6.21 Earths,15.431,2014
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1260 b,5658,3.78 Earths,14.953,2016
Kepler-1261 b,2428,5.73 Earths,15.817,2016
Kepler-1254 d,2032,2.27 Earths,15.541,2016
Kepler-1255 b,5275,5.99 Earths,15.308,2016
Kepler-1256 b,2907,2.83 Earths,13.685,2016
Kepler-1257 b,3608,2.92 Earths,15.644,2016
Kepler-1258 b,2341,0.566 Earths,13.929,2016
Kepler-1259 b,2628,2.63 Earths,15.556,2016
Kepler-125 b,598,6.21 Earths,15.431,2014
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1260 b,5658,3.78 Earths,14.953,2016
Kepler-1261 b,2428,5.73 Earths,15.817,2016
Kepler-1254 d,2032,2.27 Earths,15.541,2016
Kepler-1255 b,5275,5.99 Earths,15.308,2016
Kepler-1256 b,2907,2.83 Earths,13.685,2016
Kepler-1257 b,3608,2.92 Earths,15.644,2016
Kepler-1258 b,2341,0.566 Earths,13.929,2016
Kepler-1259 b,2628,2.63 Earths,15.556,2016
Kepler-125 b,598,6.21 Earths,15.431,2014
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1260 b,5658,3.78 Earths,14.953,2016
Kepler-1261 b,2428,5.73 Earths,15.817,2016
Kepler-1254 d,2032,2.27 Earths,15.541,2016
Kepler-1255 b,5275,5.99 Earths,15.308,2016
Kepler-1256 b,2907,2.83 Earths,13.685,2016
Kepler-1257 b,3608,2.92 Earths,15.644,2016
Kepler-1258 b,2341,0.566 Earths,13.929,2016
Kepler-1259 b,2628,2.63 Earths,15.556,2016
Kepler-125 b,598,6.21 Earths,15.431,2014
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1260 b,5658,3.78 Earths,14.953,2016
Kepler-1261 b,2428,5.73 Earths,15.817,2016
Kepler-1262 b,3441,3.97 Earths,15.155,2016
Kepler-1263 b,2169,1.55 Earths,15.173,2016
Kepler-1264 b,2616,1.76 Earths,14.629,2016
Kepler-1265 b,1904,2.39 Earths,16.024,2016
Kepler-1266 b,2770,7.18 Earths,16.016,2016
Kepler-1266 c,2770,3.46 Earths,16.016,2021
Kepler-1267 b,4500,9.32 Earths,15.846,2016
Kepler-1268 b,6005,4.78 Earths,15.484,2016
Kepler-1269 b,3579,3.29 Earths,13.658,2016
Kepler-126 b,774,2.92 Earths,10.505,2014
Kepler-126 c,774,3.12 Earths,10.505,2014
Kepler-126 d,774,6.8 Earths,10.505,2014
Kepler-1270 b,3572,11 Earths,13.562,2016
Kepler-1271 b,2714,2.79 Earths,14.075,2016
Kepler-1272 b,3935,6.21 Earths,14.734,2016
Kepler-1273 b,3635,6.76 Earths,16.03,2016
Kepler-1274 b,2005,2.6 Earths,11.717,2016
Kepler-1275 b,3764,2.79 Earths,14.595,2016
Kepler-1276 b,1757,1.81 Earths,12.992,2016
Kepler-1277 b,1818,3.19 Earths,14.306,2016
Kepler-1278 b,2901,1.01 Earths,13.782,2016
Kepler-1279 b,4874,3.71 Earths,14.137,2016
Kepler-127 b,1151,2.54 Earths,11.746,2014
Kepler-127 c,1151,7.56 Earths,11.746,2014
Kepler-127 d,1151,7.46 Earths,11.746,2014
Kepler-1280 b,4850,4.16 Earths,14.196,2016
Kepler-1281 b,3556,3.33 Earths,15.961,2016
Kepler-1282 b,3599,3.02 Earths,15.707,2016
Kepler-1283 b,9532,4.31 Earths,15.269,2016
Kepler-1284 b,2878,1.92 Earths,15.912,2016
Kepler-1285 b,1377,0.871 Earths,11.717,2016
Kepler-1286 b,4418,5.27 Earths,15.278,2016
Kepler-1287 b,3273,2.99 Earths,15.216,2016
Kepler-1288 b,2656,1.46 Earths,13.199,2016
Kepler-1289 b,3437,2.92 Earths,14.732,2016
Kepler-128 b,1293,0.77 Earths,11.693,2013
Kepler-128 c,1293,0.9 Earths,11.693,2013
Kepler-1290 b,5199,2.6 Earths,15.871,2016
Kepler-1291 b,2927,3.39 Earths,16.261,2016
Kepler-1292 b,4872,3.97 Earths,16.337,2016
Kepler-1293 b,3354,0.871 Earths,13.377,2016
Kepler-1294 b,6053,10.3 Earths,15.361,2016
Kepler-1295 b,3831,3.02 Earths,16.227,2016
Kepler-1296 b,5061,0.693 Earths,14.934,2016
Kepler-1297 b,4696,0.871 Earths,14.867,2016
Kepler-1298 b,1775,2.27 Earths,11.388,2016
Kepler-1299 b,4583,9.17 Earths,15.962,2016
Kepler-129 b,1334,20 Earths,11.809,2014
Kepler-129 c,1334,0.13529 Jupiters,11.809,2014
Kepler-129 d,1334,8.3 Jupiters,11.809,2021
Kepler-1293 b,3354,0.871 Earths,13.377,2016
Kepler-1294 b,6053,10.3 Earths,15.361,2016
Kepler-1295 b,3831,3.02 Earths,16.227,2016
Kepler-1296 b,5061,0.693 Earths,14.934,2016
Kepler-1297 b,4696,0.871 Earths,14.867,2016
Kepler-1298 b,1775,2.27 Earths,11.388,2016
Kepler-1299 b,4583,9.17 Earths,15.962,2016
Kepler-129 b,1334,20 Earths,11.809,2014
Kepler-129 c,1334,0.13529 Jupiters,11.809,2014
Kepler-129 d,1334,8.3 Jupiters,11.809,2021
Kepler-1293 b,3354,0.871 Earths,13.377,2016
Kepler-1294 b,6053,10.3 Earths,15.361,2016
Kepler-1295 b,3831,3.02 Earths,16.227,2016
Kepler-1296 b,5061,0.693 Earths,14.934,2016
Kepler-1297 b,4696,0.871 Earths,14.867,2016
Kepler-1298 b,1775,2.27 Earths,11.388,2016
Kepler-1299 b,4583,9.17 Earths,15.962,2016
Kepler-129 b,1334,20 Earths,11.809,2014
Kepler-129 c,1334,0.13529 Jupiters,11.809,2014
Kepler-129 d,1334,8.3 Jupiters,11.809,2021
Kepler-1309 b,2756,6.21 Earths,16.5119,2016
Kepler-130 b,1033,1.04 Earths,11.572,2014
Kepler-130 c,1033,8.75 Earths,11.572,2014
Kepler-130 d,1033,3.33 Earths,11.572,2014
Kepler-1310 b,1857,2.67 Earths,14.346,2016
Kepler-1311 b,2826,2.07 Earths,13.528,2016
Kepler-1311 c,2826,1.98 Earths,13.528,2016
Kepler-1311 d,2826,0.212 Jupiters,13.528,2021
Kepler-1312 b,976,5.06 Earths,12.491,2016
Kepler-1312 c,976,1.07 Earths,12.491,2021
Kepler-1313 b,568,3.75 Earths,12.363,2016
Kepler-1314 b,463,22.9 Earths,17.816,2016
Kepler-1315 b,1569,2.48 Earths,15.133,2016
Kepler-1315 c,1569,4.06 Earths,15.133,2021
Kepler-1316 b,2612,12.3 Earths,14.119,2016
Kepler-1317 b,2376,3.05 Earths,15.083,2016
Kepler-1318 b,1550,9.85 Earths,15.531,2016
Kepler-1319 b,339,2.36 Earths,15.161,2016
Kepler-131 b,746,16.13 Earths,11.493,2014
Kepler-131 c,746,8.25 Earths,11.493,2014
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1329 b,1918,5.35 Earths,15.958,2016
Kepler-132 b,1140,1.92 Earths,11.922,2014
Kepler-132 c,1140,2.18 Earths,11.922,2014
Kepler-132 d,1140,3.02 Earths,11.922,2014
Kepler-132 e,1140,1.76 Earths,11.922,2016
Kepler-1330 b,5612,3.36 Earths,15.076,2016
Kepler-1331 b,1041,1.16 Earths,15.58,2016
Kepler-1332 b,1725,2.45 Earths,13.975,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1329 b,1918,5.35 Earths,15.958,2016
Kepler-132 b,1140,1.92 Earths,11.922,2014
Kepler-132 c,1140,2.18 Earths,11.922,2014
Kepler-132 d,1140,3.02 Earths,11.922,2014
Kepler-132 e,1140,1.76 Earths,11.922,2016
Kepler-1330 b,5612,3.36 Earths,15.076,2016
Kepler-1331 b,1041,1.16 Earths,15.58,2016
Kepler-1332 b,1725,2.45 Earths,13.975,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1329 b,1918,5.35 Earths,15.958,2016
Kepler-132 b,1140,1.92 Earths,11.922,2014
Kepler-132 c,1140,2.18 Earths,11.922,2014
Kepler-132 d,1140,3.02 Earths,11.922,2014
Kepler-132 e,1140,1.76 Earths,11.922,2016
Kepler-1330 b,5612,3.36 Earths,15.076,2016
Kepler-1331 b,1041,1.16 Earths,15.58,2016
Kepler-1332 b,1725,2.45 Earths,13.975,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1329 b,1918,5.35 Earths,15.958,2016
Kepler-132 b,1140,1.92 Earths,11.922,2014
Kepler-132 c,1140,2.18 Earths,11.922,2014
Kepler-132 d,1140,3.02 Earths,11.922,2014
Kepler-132 e,1140,1.76 Earths,11.922,2016
Kepler-1330 b,5612,3.36 Earths,15.076,2016
Kepler-1331 b,1041,1.16 Earths,15.58,2016
Kepler-1332 b,1725,2.45 Earths,13.975,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1329 b,1918,5.35 Earths,15.958,2016
Kepler-132 b,1140,1.92 Earths,11.922,2014
Kepler-132 c,1140,2.18 Earths,11.922,2014
Kepler-132 d,1140,3.02 Earths,11.922,2014
Kepler-132 e,1140,1.76 Earths,11.922,2016
Kepler-1330 b,5612,3.36 Earths,15.076,2016
Kepler-1331 b,1041,1.16 Earths,15.58,2016
Kepler-1332 b,1725,2.45 Earths,13.975,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1329 b,1918,5.35 Earths,15.958,2016
Kepler-132 b,1140,1.92 Earths,11.922,2014
Kepler-132 c,1140,2.18 Earths,11.922,2014
Kepler-132 d,1140,3.02 Earths,11.922,2014
Kepler-132 e,1140,1.76 Earths,11.922,2016
Kepler-1330 b,5612,3.36 Earths,15.076,2016
Kepler-1331 b,1041,1.16 Earths,15.58,2016
Kepler-1332 b,1725,2.45 Earths,13.975,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1329 b,1918,5.35 Earths,15.958,2016
Kepler-132 b,1140,1.92 Earths,11.922,2014
Kepler-132 c,1140,2.18 Earths,11.922,2014
Kepler-132 d,1140,3.02 Earths,11.922,2014
Kepler-132 e,1140,1.76 Earths,11.922,2016
Kepler-1330 b,5612,3.36 Earths,15.076,2016
Kepler-1331 b,1041,1.16 Earths,15.58,2016
Kepler-1332 b,1725,2.45 Earths,13.975,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1329 b,1918,5.35 Earths,15.958,2016
Kepler-132 b,1140,1.92 Earths,11.922,2014
Kepler-132 c,1140,2.18 Earths,11.922,2014
Kepler-132 d,1140,3.02 Earths,11.922,2014
Kepler-132 e,1140,1.76 Earths,11.922,2016
Kepler-1330 b,5612,3.36 Earths,15.076,2016
Kepler-1331 b,1041,1.16 Earths,15.58,2016
Kepler-1332 b,1725,2.45 Earths,13.975,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1329 b,1918,5.35 Earths,15.958,2016
Kepler-132 b,1140,1.92 Earths,11.922,2014
Kepler-132 c,1140,2.18 Earths,11.922,2014
Kepler-132 d,1140,3.02 Earths,11.922,2014
Kepler-132 e,1140,1.76 Earths,11.922,2016
Kepler-1330 b,5612,3.36 Earths,15.076,2016
Kepler-1331 b,1041,1.16 Earths,15.58,2016
Kepler-1332 b,1725,2.45 Earths,13.975,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1329 b,1918,5.35 Earths,15.958,2016
Kepler-132 b,1140,1.92 Earths,11.922,2014
Kepler-132 c,1140,2.18 Earths,11.922,2014
Kepler-132 d,1140,3.02 Earths,11.922,2014
Kepler-132 e,1140,1.76 Earths,11.922,2016
Kepler-1330 b,5612,3.36 Earths,15.076,2016
Kepler-1331 b,1041,1.16 Earths,15.58,2016
Kepler-1332 b,1725,2.45 Earths,13.975,2016
Kepler-1333 b,3042,8.3 Earths,15.421,2016
Kepler-1334 b,3990,5.86 Earths,15.461,2016
Kepler-1335 b,2028,2.7 Earths,15.248,2016
Kepler-1336 b,3675,4.58 Earths,14.264,2016
Kepler-1336 c,3675,3.57 Earths,14.264,2016
Kepler-1337 b,1963,6.39 Earths,16.21,2016
Kepler-1338 b,2457,0.721 Earths,13.699,2016
Kepler-1339 b,1210,0.285 Earths,12.344,2016
Kepler-133 b,2132,3.75 Earths,12.896,2014
Kepler-133 c,2132,8.45 Earths,12.896,2014
Kepler-1340 b,3203,3.02 Earths,15.003,2016
Kepler-1341 b,1556,9.22 Earths,15.356,2016
Kepler-1342 b,2906,3.39 Earths,15.726,2016
Kepler-1343 b,5730,4.38 Earths,15.617,2016
Kepler-1344 b,2786,4.04 Earths,14.192,2016
Kepler-1345 b,4420,6.17 Earths,13.775,2016
Kepler-1346 b,2752,3.12 Earths,14.625,2016
Kepler-1347 b,1047,1.08 Earths,13.557,2016
Kepler-1348 b,3959,4.42 Earths,14.871,2016
Kepler-1349 b,901,0.271 Earths,11.209,2016
Kepler-134 b,1092,4.66 Earths,12.318,2014
Kepler-134 c,1092,2.13 Earths,12.318,2014
Kepler-1350 b,1111,6.9 Earths,16.577,2016
Kepler-1350 c,1111,3.64 Earths,16.577,2016
Kepler-1351 b,661,0.208 Earths,14.328,2016
Kepler-1352 b,2188,0.64 Earths,13.338,2016
Kepler-1353 b,1936,3.89 Earths,15.734,2016
Kepler-1354 b,3652,9.11 Earths,14.59,2016
Kepler-1355 b,2973,2.73 Earths,15.595,2016
Kepler-1356 b,2757,2.96 Earths,15.887,2016
Kepler-1357 b,3313,2.18 Earths,15.322,2016
Kepler-1358 b,1784,1.46 Earths,14.693,2016
Kepler-1359 b,2006,8.4 Earths,15.987,2016
Kepler-135 b,2028,3.93 Earths,12.794,2014
Kepler-135 c,2028,1.65 Earths,12.794,2014
Kepler-1360 b,4946,11.5 Earths,14.007,2016
Kepler-1361 b,1269,0.566 Earths,14.096,2016
Kepler-1362 b,2385,7.27 Earths,16.05,2016
Kepler-1363 b,1767,2.1 Earths,15.454,2016
Kepler-1364 b,3448,5.27 Earths,13.196,2016
Kepler-1371 b,1681,0.315 Earths,14.018,2016
Kepler-1371 c,1681,0.196 Earths,14.018,2016
Kepler-1372 b,4251,2.15 Earths,15.667,2016
Kepler-1373 b,5544,1.65 Earths,14.328,2016
Kepler-1374 b,3518,5.86 Earths,15.991,2016
Kepler-1375 b,4667,3.68 Earths,13.864,2016
Kepler-1376 b,2832,1.16 Earths,14.792,2016
Kepler-1377 b,3739,2.1 Earths,15.857,2016
Kepler-1378 b,1652,5.48 Earths,16.5497,2016
Kepler-1379 b,3168,2.24 Earths,16.107,2016
Kepler-1371 b,1681,0.315 Earths,14.018,2016
Kepler-1371 c,1681,0.196 Earths,14.018,2016
Kepler-1372 b,4251,2.15 Earths,15.667,2016
Kepler-1373 b,5544,1.65 Earths,14.328,2016
Kepler-1374 b,3518,5.86 Earths,15.991,2016
Kepler-1375 b,4667,3.68 Earths,13.864,2016
Kepler-1376 b,2832,1.16 Earths,14.792,2016
Kepler-1377 b,3739,2.1 Earths,15.857,2016
Kepler-1378 b,1652,5.48 Earths,16.5497,2016
Kepler-1379 b,3168,2.24 Earths,16.107,2016
Kepler-1388 b,1480,7.22 Earths,16.43,2016
Kepler-1388 c,1480,5.73 Earths,16.43,2016
Kepler-1388 d,1480,8.55 Earths,16.43,2016
Kepler-1388 e,1480,6.62 Earths,16.43,2016
Kepler-1389 b,1622,3.78 Earths,14.896,2016
Kepler-138 b,218,0.066 Earths,13.04,2014
Kepler-138 c,218,1.97 Earths,13.04,2014
Kepler-138 d,218,0.64 Earths,13.04,2014
Kepler-1390 b,2360,1.76 Earths,14.558,2016
Kepler-1391 b,3387,3.46 Earths,13.906,2016
Kepler-1392 b,3644,4.5 Earths,15.963,2016
Kepler-1393 b,1776,0.437 Earths,13.476,2016
Kepler-1394 b,2089,2.51 Earths,11.714,2016
Kepler-1395 b,1608,0.437 Earths,12.632,2016
Kepler-1396 b,3479,4.94 Earths,14.691,2016
Kepler-1397 b,3909,3.61 Earths,14.324,2016
Kepler-1398 b,2780,0.666 Earths,13.752,2016
Kepler-1398 c,2780,1.08 Earths,13.752,2016
Kepler-1399 b,4520,2.1 Earths,15.572,2016
Kepler-139 b,1276,8.96 Earths,12.775,2014
Kepler-1392 b,3644,4.5 Earths,15.963,2016
Kepler-1393 b,1776,0.437 Earths,13.476,2016
Kepler-1394 b,2089,2.51 Earths,11.714,2016
Kepler-1395 b,1608,0.437 Earths,12.632,2016
Kepler-1396 b,3479,4.94 Earths,14.691,2016
Kepler-1397 b,3909,3.61 Earths,14.324,2016
Kepler-1398 b,2780,0.666 Earths,13.752,2016
Kepler-1398 c,2780,1.08 Earths,13.752,2016
Kepler-1399 b,4520,2.1 Earths,15.572,2016
Kepler-139 b,1276,8.96 Earths,12.775,2014
Kepler-1409 b,2267,1.12 Earths,15.391,2016
Kepler-140 b,1905,3.22 Earths,13.018,2014
Kepler-140 c,1905,3.89 Earths,13.018,2014
Kepler-1410 b,1197,3.82 Earths,16.319,2016
Kepler-1411 b,5416,8.35 Earths,15.945,2016
Kepler-1412 b,2465,0.498 Earths,13.347,2016
Kepler-1413 b,3808,3.97 Earths,16.473,2016
Kepler-1414 b,1862,2.04 Earths,14.989,2016
Kepler-1415 b,3404,2.21 Earths,15.937,2016
Kepler-1416 b,3098,0.615 Earths,14.369,2016
Kepler-1409 b,2267,1.12 Earths,15.391,2016
Kepler-140 b,1905,3.22 Earths,13.018,2014
Kepler-140 c,1905,3.89 Earths,13.018,2014
Kepler-1410 b,1197,3.82 Earths,16.319,2016
Kepler-1411 b,5416,8.35 Earths,15.945,2016
Kepler-1412 b,2465,0.498 Earths,13.347,2016
Kepler-1413 b,3808,3.97 Earths,16.473,2016
